EVT_7000_NAME;Focus our Research;;;;;;;;;;;;;x;;;;
EVT_7000_DESC;The top minds of the $COUNTRY_ADJ$ Academy of Sciences gathered today in $CAPITAL$ at the government's request. It was decreed that, in the name of the national interest, the academia of $COUNTRY$, its universities, researchers and scientists should focus on a specific field of study.\n\nThe war and defense hawks are calling for a reinvigorated focus on our nation's military, encouraging research and development on weapons systems, doctrines, ships, and aircraft, and point at the deteriorating strategic situation in our region. Economists and sociologists, however, would rather push for broad internal development in our cultural, political, financial and industrial areas as the best way to drive the nation forward at this point in time.\n\nThe debate was long settled before the meeting, however, and the prevailing views from the legislators to the intelligentsia was clear:;;;;;;;;;;;;;x;;;;
EVT_7000_OPTA;Focus on the military.;;;;;;;;;;;;;x;;;;
EVT_7000_OPTB;Focus on national development.;;;;;;;;;;;;;x;;;;
EVT_7000_OPTC;This is not the right time for such endeavors.;;;;;;;;;;;;;x;;;;
EVT_7010_NAME;Focus our Military Research;;;;;;;;;;;;;x;;;;
EVT_7010_DESC;As we gear our academia towards military affairs, there have been calls from the Ministry of Defense and the $COUNTRY_ADJ$ Academy of Sciences to focus our research even further.\n\nThere are currently two main schools of military thought vying for funding and research availability: the Defense and Deterrence School, which focuses on overall strategic military readiness and land combat to better safeguard our nation from attacks, and the Power Projection School, that seeks to develop air, sea, and space technologies to better project power abroad and bolster our attack capabilities.\n\nFocusing our research into either will improve our overall research efficiency, although it will benefit some at the expense of others, and may reduce our strategic flexibility in research topics. After several weeks of discussion, it was agreed that the best course of action was to:;;;;;;;;;;;;;x;;;;
EVT_7010_OPTA;Focus on Defense and Deterrence.;;;;;;;;;;;;;x;;;;
EVT_7010_OPTB;Focus on Power Projection.;;;;;;;;;;;;;x;;;;
EVT_7010_OPTC;Wait. This is not the right time for such endeavors.;;;;;;;;;;;;;x;;;;
EVT_7011_NAME;Focus our National Development Research;;;;;;;;;;;;;x;;;;
EVT_7011_DESC;As we gear our academia towards developmental affairs, there have been calls from the Ministries of Finance and Industry, as well as prominent voices in $CAPITAL$ and the $COUNTRY_ADJ$ Academy of Sciences to focus our research even further.\n\nThere are currently three main schools of socioeconomic development thought vying for funding and research availability: the Economics School, which focuses on overall economic and financial affairs, the Sociology School, which focuses on social and political endeavors, and the Industrial School, that focuses on manufacturing, resource extraction, and transportation.\n\nFocusing our research into either will improve our overall research efficiency, although it will benefit some at the expense of others, and may reduce our strategic flexibility in research topics. After several weeks of discussion, it was agreed that the best course of action was to:;;;;;;;;;;;;;x;;;;
EVT_7011_OPTA;Focus on Economics and Finance.;;;;;;;;;;;;;x;;;;
EVT_7011_OPTB;Focus on Sociology and Politics.;;;;;;;;;;;;;x;;;;
EVT_7011_OPTC;Focus on Industry and Transport.;;;;;;;;;;;;;x;;;;
EVT_7011_OPTD;Wait. This is not the right time for such endeavors.;;;;;;;;;;;;;x;;;;
EVT_7020_NAME;Refine the Defense and Deterrence School;;;;;;;;;;;;;x;;;;
EVT_7020_DESC;The recent advancements in military science have brought calls from the $COUNTRY_ADJ$ Academy of Sciences and the Ministry of Defense to broaden the scope of our research into synergistic fields of study. This has led to a schism between four different schools of thought on which fields we should focus on.\n\nThe Classical Military school contends that the best way to complement our defense and deterrence is through research in air and sea weaponry as well. The so-called Mercenary school contends that economic and financial progress goes hand-in-hand with military prowess. The Regimented Society school calls for greater civil-military union. Lastly, the Military-Industrial school seeks to expand our nation's industrial capacity as the best way to benenfit our armed forces.\n\nEventually, it was decided that the best way to refine the Defense and Deterrence school was to follow...;;;;;;;;;;;;;x;;;;
EVT_7020_OPTA;The Military School.;;;;;;;;;;;;;x;;;;
EVT_7020_OPTB;The Mercenary School.;;;;;;;;;;;;;x;;;;
EVT_7020_OPTC;The Regimented Society School.;;;;;;;;;;;;;x;;;;
EVT_7020_OPTD;The Military-Industrial School.;;;;;;;;;;;;;x;;;;
EVT_7020_OPTE;None. This is not the right time for such endeavors.;;;;;;;;;;;;;x;;;;
EVT_7021_NAME;Refine the Power Projection School;;;;;;;;;;;;;x;;;;
EVT_7021_DESC;The recent advancements in military science have brought calls from the $COUNTRY_ADJ$ Academy of Sciences, Navy and Air Force to broaden the scope of our research into synergistic fields of study. This has led to a schism between four different schools of thought on which fields we should focus on.\n\nThe Classical Military school contends that the best way to complement our power projection is through comprehensive research in the rest of our armed forces as well. The Trade school calls for the usage of our forces to protect shipping lanes and fostering international trade and diplomacy. The Exploration school called for an expansion of our explorations of land, sea, air, and beyond. Lastly, the Export school seeks to expand our manufacturing prowess along with the capacity to protect and ship them abroad.\n\nEventually, it was decided that the best way to refine the Defense and Deterrence school was to follow...;;;;;;;;;;;;;x;;;;
EVT_7021_OPTA;The Military School.;;;;;;;;;;;;;x;;;;
EVT_7021_OPTB;The Trade School.;;;;;;;;;;;;;x;;;;
EVT_7021_OPTC;The Exploration School.;;;;;;;;;;;;;x;;;;
EVT_7021_OPTD;The Export School.;;;;;;;;;;;;;x;;;;
EVT_7021_OPTE;None. This is not the right time for such endeavors.;;;;;;;;;;;;;x;;;;
EVT_7022_NAME;Refine the Economic Development School;;;;;;;;;;;;;x;;;;
EVT_7022_DESC;The recent advancements in financial and economic fields have brought calls from the $COUNTRY_ADJ$ Academy of Sciences and School of Economics to broaden the scope of our research into synergistic fields of study. This has led to a schism between four different schools of thought on which fields we should focus on.\n\nThe so-called Mercenary school contends that military expansion goes hand-in-hand with economic growth. The Trade or Export school calls for the usage of our forces to protect shipping lanes and fostering international trade and diplomacy. The Services school focuses on soft power and the tertiary sector of the economy as the best way to lead the nation forward. Lastly, the Manufacturing or Import Substitution school seeks to increase our nation's manufacturing and extractive prowess.\n\nEventually, it was decided that the best way to refine the Economic Development school was to follow...;;;;;;;;;;;;;x;;;;
EVT_7022_OPTA;The Mercenary School.;;;;;;;;;;;;;x;;;;
EVT_7022_OPTB;The Trade School.;;;;;;;;;;;;;x;;;;
EVT_7022_OPTC;The Services School.;;;;;;;;;;;;;x;;;;
EVT_7022_OPTD;The Manufacturing School.;;;;;;;;;;;;;x;;;;
