reevaluate_fiscal_policy_title;Reevaluate Fiscal Policy;;;;;;;;;;;;;x;;;;
reevaluate_fiscal_policy_desc;The economic situation in our country is dynamic, and thus, our fiscal policy should be as well. We can reevaluate our current course of action with expansionary or contractionary fiscal policy, or we can continue the present status quo.;;;;;;;;;;;;;x;;;;
adopt_expansionary_fiscal_policy_title;Adopt Expansionary Fiscal Policy;;;;;;;;;;;;;x;;;;
adopt_expansionary_fiscal_policy_NEWS_LONG;Policymakers in $COUNTRY$ have gathered today to discuss and enact expansionary fiscal policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_expansionary_fiscal_policy_NEWS_MEDIUM;Policymakers in $COUNTRY$ have gathered today to discuss and enact expansionary fiscal policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_expansionary_fiscal_policy_NEWS_SHORT;Policymakers in $COUNTRY$ have gathered today to discuss and enact expansionary fiscal policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_expansionary_fiscal_policy_desc;We can enact either limited, moderate, or wide-ranging expansionary fiscal policy, increasing government spending and decreasing taxation in order to stimulate the economy and improve our overall economic situation.;;;;;;;;;;;;;x;;;;
adopt_contractionary_fiscal_policy_title;Adopt Contractionary Fiscal Policy;;;;;;;;;;;;;x;;;;
adopt_contractionary_fiscal_policy_NEWS_LONG;Policymakers in $COUNTRY$ have gathered today to discuss and enact contractionary fiscal policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_contractionary_fiscal_policy_NEWS_MEDIUM;Policymakers in $COUNTRY$ have gathered today to discuss and enact contractionary fiscal policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_contractionary_fiscal_policy_NEWS_SHORT;Policymakers in $COUNTRY$ have gathered today to discuss and enact contractionary fiscal policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_contractionary_fiscal_policy_desc;We can enact either limited, moderate, or wide-ranging contractionary fiscal policy, decreasing government spending and increasing taxation in order to cool down the economy and improve our overall economic stability.;;;;;;;;;;;;;x;;;;
reevaluate_monetary_policy_title;Reevaluate monetary Policy;;;;;;;;;;;;;x;;;;
reevaluate_monetary_policy_desc;The economic situation in our country is dynamic, and thus, our monetary policy should be as well. We can reevaluate our current course of action with expansionary or contractionary monetary policy, or we can continue the present status quo.;;;;;;;;;;;;;x;;;;
adopt_expansionary_monetary_policy_title;Adopt Expansionary Monetary Policy;;;;;;;;;;;;;x;;;;
adopt_expansionary_monetary_policy_NEWS_LONG;Policymakers and central bankers in $COUNTRY$ have gathered today to discuss and enact expansionary monetary policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_expansionary_monetary_policy_NEWS_MEDIUM;Policymakers and central bankers in $COUNTRY$ have gathered today to discuss and enact expansionary monetary policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_expansionary_monetary_policy_NEWS_SHORT;Policymakers and central bankers in $COUNTRY$ have gathered today to discuss and enact expansionary monetary policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_expansionary_monetary_policy_desc;We can enact either limited, moderate, or wide-ranging expansionary monetary policy, either by increasing the monetary base or keeping interest rates below normal, in order to stimulate economic growth and output and improve our overall monetary situation.;;;;;;;;;;;;;x;;;;
adopt_contractionary_monetary_policy_title;Adopt Contractionary Monetary Policy;;;;;;;;;;;;;x;;;;
adopt_contractionary_monetary_policy_NEWS_LONG;Policymakers and central bankers in $COUNTRY$ have gathered today to discuss and enact contractionary monetary policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_contractionary_monetary_policy_NEWS_MEDIUM;Policymakers and central bankers in $COUNTRY$ have gathered today to discuss and enact contractionary monetary policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_contractionary_monetary_policy_NEWS_SHORT;Policymakers and central bankers in $COUNTRY$ have gathered today to discuss and enact contractionary monetary policy to address their economic issues.;;;;;;;;;;;;;x;;;;
adopt_contractionary_monetary_policy_desc;We can enact either limited, moderate, or wide-ranging contractionary monetary policy, either by decreasing the monetary base or keeping interest rates above normal, in order to reduce economic growth and output and improve our overall monetary situation.;;;;;;;;;;;;;x;;;;
